职业名称,人物描述,工资收入（元）,支出项（类型及金额）,月现金流（元）,精力值
财务总监,公司的财务大管家，聪明、细心、只避风险,"25,000","重疾支出 ¥15,000","10,000",3
护士,在一次看病中认识的护士，温柔、性感、体贴,"8,000","重疾支出 ¥3,000","2,000",3
服装店经理,非常善于沟通的服装店经理，虽然上班时间较长，但工资收入可观,"8,000","往返支出 ¥4,500","4,500",3
儿童摄影师,很有耐心的儿童摄影师，工资收入很好，时间相对自由,"10,000","生活支出 ¥6,000","4,000",4
银行客户经理,工作稳定，工资收入比一般公职人员高，朝九晚五准点上下班,"8,000","生活支出 ¥3,500","5,500",4
节目主持人,电视节目主持人，能言善辩气质佳，工资收入高，支出也高,"20,000","重疾支出 ¥8,500","1,500",5
小学教师,在一次聚会中认识，积极组织校内活动，工资收入稳定，魅力较充沛,"6,000","重疾支出 ¥3,000","3,000",4
邻家女孩,刚毕业的邻家女孩，你被她的纯真和美丽外表吸引，但还没有工作,0,"生活支出 ¥4,500","-4,500",6
空姐,在一次飞行中你们相识，她经常飞国际航线，相聚的时间少，但让你在朋友中很有面子,"12,000","生活支出 ¥10,000","2,000",3
烘焙师,因为爱上她做的食物而爱上了她,"6,000","生活支出 ¥3,000","3,000",4
